quarter,personal_characteristics,position_begin,position_end,number_of_persons
2007-1,Education level: middle,non labourforce,unemployed,48
2007-1,Education level: middle,non labourforce,non labourforce,1068
2007-1,Education level: higher,TOTAL,TOTAL,2743
2007-1,Education level: higher,TOTAL,employed,2282
2007-1,Education level: higher,TOTAL,unemployed,68
2007-1,Education level: higher,TOTAL,non labourforce,392
2007-1,Education level: higher,employed,TOTAL,2262
2007-1,Education level: higher,employed,employed,2236
2007-1,Education level: higher,employed,unemployed,11
2007-1,Education level: higher,employed,non labourforce,15
2007-1,Education level: higher,unemployed,TOTAL,77
2007-1,Education level: higher,unemployed,employed,23
2007-1,Education level: higher,unemployed,unemployed,38
2007-1,Education level: higher,unemployed,non labourforce,15
2007-1,Education level: higher,non labourforce,TOTAL,403
2007-1,Education level: higher,non labourforce,employed,23
2007-1,Education level: higher,non labourforce,unemployed,19
2007-1,Education level: higher,non labourforce,non labourforce,361
2007-1,Education level: unknown,TOTAL,TOTAL,102
2007-1,Education level: unknown,TOTAL,employed,72
2007-1,Education level: unknown,TOTAL,unemployed,3
2007-1,Education level: unknown,TOTAL,non labourforce,27
2007-1,Education level: unknown,employed,TOTAL,70
2007-1,Education level: unknown,employed,employed,68
2007-1,Education level: unknown,employed,unemployed,
2007-1,Education level: unknown,employed,non labourforce,
2007-1,Education level: unknown,unemployed,TOTAL,4
2007-1,Education level: unknown,unemployed,employed,
2007-1,Education level: unknown,unemployed,unemployed,
2007-1,Education level: unknown,unemployed,non labourforce,
2007-1,Education level: unknown,non labourforce,TOTAL,28
2007-1,Education level: unknown,non labourforce,employed,3
2007-1,Education level: unknown,non labourforce,unemployed,
2007-1,Education level: unknown,non labourforce,non labourforce,25
2007-1,Job level: elementary,TOTAL,TOTAL,565
2007-1,Job level: elementary,TOTAL,employed,538
2007-1,Job level: elementary,TOTAL,unemployed,11
2007-1,Job level: elementary,TOTAL,non labourforce,16
2007-1,Job level: elementary,employed,TOTAL,518
2007-1,Job level: elementary,employed,employed,491
2007-1,Job level: elementary,employed,unemployed,11
2007-1,Job level: elementary,employed,non labourforce,16
2007-1,Job level: elementary,unemployed,TOTAL,16
2007-1,Job level: elementary,unemployed,employed,16
2007-1,Job level: elementary,unemployed,unemployed,
2007-1,Job level: elementary,unemployed,non labourforce,
2007-1,Job level: elementary,non labourforce,TOTAL,31
2007-1,Job level: elementary,non labourforce,employed,31
2007-1,Job level: elementary,non labourforce,unemployed,
2007-1,Job level: elementary,non labourforce,non labourforce,
2007-1,Job level: lower,TOTAL,TOTAL,1833
2007-1,Job level: lower,TOTAL,employed,1782
2007-1,Job level: lower,TOTAL,unemployed,13
2007-1,Job level: lower,TOTAL,non labourforce,38
2007-1,Job level: lower,employed,TOTAL,1718
2007-1,Job level: lower,employed,employed,1667
2007-1,Job level: lower,employed,unemployed,13
2007-1,Job level: lower,employed,non labourforce,38
2007-1,Job level: lower,unemployed,TOTAL,45
2007-1,Job level: lower,unemployed,employed,45
2007-1,Job level: lower,unemployed,unemployed,
2007-1,Job level: lower,unemployed,non labourforce,
2007-1,Job level: lower,non labourforce,TOTAL,70
2007-1,Job level: lower,non labourforce,employed,70
2007-1,Job level: lower,non labourforce,unemployed,
2007-1,Job level: lower,non labourforce,non labourforce,
2007-1,Job level: middle,TOTAL,TOTAL,2790
2007-1,Job level: middle,TOTAL,employed,2747
2007-1,Job level: middle,TOTAL,unemployed,15
2007-1,Job level: middle,TOTAL,non labourforce,27
2007-1,Job level: middle,employed,TOTAL,2738
2007-1,Job level: middle,employed,employed,2696
2007-1,Job level: middle,employed,unemployed,15
2007-1,Job level: middle,employed,non labourforce,27
2007-1,Job level: middle,unemployed,TOTAL,23
2007-1,Job level: middle,unemployed,employed,23
2007-1,Job level: middle,unemployed,unemployed,
2007-1,Job level: middle,unemployed,non labourforce,
2007-1,Job level: middle,non labourforce,TOTAL,28
2007-1,Job level: middle,non labourforce,employed,28
2007-1,Job level: middle,non labourforce,unemployed,
2007-1,Job level: middle,non labourforce,non labourforce,
2007-1,Job level: higher,TOTAL,TOTAL,1542
2007-1,Job level: higher,TOTAL,employed,1525
2007-1,Job level: higher,TOTAL,unemployed,6
2007-1,Job level: higher,TOTAL,non labourforce,11
2007-1,Job level: higher,employed,TOTAL,1518
2007-1,Job level: higher,employed,employed,1501
2007-1,Job level: higher,employed,unemployed,6
2007-1,Job level: higher,employed,non labourforce,11
2007-1,Job level: higher,unemployed,TOTAL,11
2007-1,Job level: higher,unemployed,employed,11
2007-1,Job level: higher,unemployed,unemployed,
2007-1,Job level: higher,unemployed,non labourforce,
2007-1,Job level: higher,non labourforce,TOTAL,13
2007-1,Job level: higher,non labourforce,employed,13
2007-1,Job level: higher,non labourforce,unemployed,
2007-1,Job level: higher,non labourforce,non labourforce,
2007-1,Job level: scientific,TOTAL,TOTAL,603
2007-1,Job level: scientific,TOTAL,employed,598
2007-1,Job level: scientific,TOTAL,unemployed,2
2007-1,Job level: scientific,TOTAL,non labourforce,3
2007-1,Job level: scientific,employed,TOTAL,593
2007-1,Job level: scientific,employed,employed,588
2007-1,Job level: scientific,employed,unemployed,2
2007-1,Job level: scientific,employed,non labourforce,3
2007-1,Job level: scientific,unemployed,TOTAL,4
2007-1,Job level: scientific,unemployed,employed,4
2007-1,Job level: scientific,unemployed,unemployed,
2007-1,Job level: scientific,unemployed,non labourforce,
2007-1,Job level: scientific,non labourforce,TOTAL,6
2007-1,Job level: scientific,non labourforce,employed,6
2007-1,Job level: scientific,non labourforce,unemployed,
2007-1,Job level: scientific,non labourforce,non labourforce,
2007-2,TOTAL,TOTAL,TOTAL,10965
2007-2,TOTAL,TOTAL,employed,7400
2007-2,TOTAL,TOTAL,unemployed,326
2007-2,TOTAL,TOTAL,non labourforce,3240
2007-2,TOTAL,employed,TOTAL,7290
2007-2,TOTAL,employed,employed,7091
2007-2,TOTAL,employed,unemployed,51
2007-2,TOTAL,employed,non labourforce,148
2007-2,TOTAL,unemployed,TOTAL,349
2007-2,TOTAL,unemployed,employed,79
2007-2,TOTAL,unemployed,unemployed,146
2007-2,TOTAL,unemployed,non labourforce,125
2007-2,TOTAL,non labourforce,TOTAL,3327
2007-2,TOTAL,non labourforce,employed,231
2007-2,TOTAL,non labourforce,unemployed,129
2007-2,TOTAL,non labourforce,non labourforce,2967
2007-2,Gender: male,TOTAL,TOTAL,5518
2007-2,Gender: male,TOTAL,employed,4241
2007-2,Gender: male,TOTAL,unemployed,140
2007-2,Gender: male,TOTAL,non labourforce,1137
2007-2,Gender: male,employed,TOTAL,4185
2007-2,Gender: male,employed,employed,4094
2007-2,Gender: male,employed,unemployed,24
2007-2,Gender: male,employed,non labourforce,66
2007-2,Gender: male,unemployed,TOTAL,159
2007-2,Gender: male,unemployed,employed,39
2007-2,Gender: male,unemployed,unemployed,68
2007-2,Gender: male,unemployed,non labourforce,52
2007-2,Gender: male,non labourforce,TOTAL,1175
2007-2,Gender: male,non labourforce,employed,108
2007-2,Gender: male,non labourforce,unemployed,48
2007-2,Gender: male,non labourforce,non labourforce,1018
2007-2,Gender: female,TOTAL,TOTAL,5447
2007-2,Gender: female,TOTAL,employed,3158
2007-2,Gender: female,TOTAL,unemployed,186
2007-2,Gender: female,TOTAL,non labourforce,2103
2007-2,Gender: female,employed,TOTAL,3105
2007-2,Gender: female,employed,employed,2996
2007-2,Gender: female,employed,unemployed,27
2007-2,Gender: female,employed,non labourforce,82
2007-2,Gender: female,unemployed,TOTAL,190
2007-2,Gender: female,unemployed,employed,40
2007-2,Gender: female,unemployed,unemployed,78
2007-2,Gender: female,unemployed,non labourforce,72
2007-2,Gender: female,non labourforce,TOTAL,2152
2007-2,Gender: female,non labourforce,employed,122
2007-2,Gender: female,non labourforce,unemployed,81
2007-2,Gender: female,non labourforce,non labourforce,1949
2007-2,Age: 15-25 years,TOTAL,TOTAL,1957
2007-2,Age: 15-25 years,TOTAL,employed,903
2007-2,Age: 15-25 years,TOTAL,unemployed,75
2007-2,Age: 15-25 years,TOTAL,non labourforce,978
2007-2,Age: 15-25 years,employed,TOTAL,788
2007-2,Age: 15-25 years,employed,employed,704
2007-2,Age: 15-25 years,employed,unemployed,14
2007-2,Age: 15-25 years,employed,non labourforce,70
2007-2,Age: 15-25 years,unemployed,TOTAL,79
2007-2,Age: 15-25 years,unemployed,employed,28
2007-2,Age: 15-25 years,unemployed,unemployed,15
2007-2,Age: 15-25 years,unemployed,non labourforce,36
2007-2,Age: 15-25 years,non labourforce,TOTAL,1090
2007-2,Age: 15-25 years,non labourforce,employed,171
2007-2,Age: 15-25 years,non labourforce,unemployed,46
2007-2,Age: 15-25 years,non labourforce,non labourforce,872
2007-2,Age: 25-45 years,TOTAL,TOTAL,4620
2007-2,Age: 25-45 years,TOTAL,employed,3821
2007-2,Age: 25-45 years,TOTAL,unemployed,133
2007-2,Age: 25-45 years,TOTAL,non labourforce,666
2007-2,Age: 25-45 years,employed,TOTAL,3810
2007-2,Age: 25-45 years,employed,employed,3747
2007-2,Age: 25-45 years,employed,unemployed,27
2007-2,Age: 25-45 years,employed,non labourforce,36
2007-2,Age: 25-45 years,unemployed,TOTAL,136
2007-2,Age: 25-45 years,unemployed,employed,35
2007-2,Age: 25-45 years,unemployed,unemployed,56
2007-2,Age: 25-45 years,unemployed,non labourforce,45
2007-2,Age: 25-45 years,non labourforce,TOTAL,674
2007-2,Age: 25-45 years,non labourforce,employed,39
2007-2,Age: 25-45 years,non labourforce,unemployed,51
2007-2,Age: 25-45 years,non labourforce,non labourforce,584
2007-2,Age: 45-65 years,TOTAL,TOTAL,4389
2007-2,Age: 45-65 years,TOTAL,employed,2676
2007-2,Age: 45-65 years,TOTAL,unemployed,117
2007-2,Age: 45-65 years,TOTAL,non labourforce,1596
2007-2,Age: 45-65 years,employed,TOTAL,2692
2007-2,Age: 45-65 years,employed,employed,2639
2007-2,Age: 45-65 years,employed,unemployed,11
2007-2,Age: 45-65 years,employed,non labourforce,41
2007-2,Age: 45-65 years,unemployed,TOTAL,134
2007-2,Age: 45-65 years,unemployed,employed,16
2007-2,Age: 45-65 years,unemployed,unemployed,75
2007-2,Age: 45-65 years,unemployed,non labourforce,44
2007-2,Age: 45-65 years,non labourforce,TOTAL,1563
2007-2,Age: 45-65 years,non labourforce,employed,21
2007-2,Age: 45-65 years,non labourforce,unemployed,31
2007-2,Age: 45-65 years,non labourforce,non labourforce,1511
2007-2,Education level: lower,TOTAL,TOTAL,3506
2007-2,Education level: lower,TOTAL,employed,1728
2007-2,Education level: lower,TOTAL,unemployed,115
2007-2,Education level: lower,TOTAL,non labourforce,1662
2007-2,Education level: lower,employed,TOTAL,1642
2007-2,Education level: lower,employed,employed,1575
2007-2,Education level: lower,employed,unemployed,13
2007-2,Education level: lower,employed,non labourforce,54
2007-2,Education level: lower,unemployed,TOTAL,125
2007-2,Education level: lower,unemployed,employed,28
2007-2,Education level: lower,unemployed,unemployed,46
2007-2,Education level: lower,unemployed,non labourforce,52
2007-2,Education level: lower,non labourforce,TOTAL,1739
2007-2,Education level: lower,non labourforce,employed,126
2007-2,Education level: lower,non labourforce,unemployed,56
2007-2,Education level: lower,non labourforce,non labourforce,1557
2007-2,Education level: middle,TOTAL,TOTAL,4578
2007-2,Education level: middle,TOTAL,employed,3290
2007-2,Education level: middle,TOTAL,unemployed,143
2007-2,Education level: middle,TOTAL,non labourforce,1145
2007-2,Education level: middle,employed,TOTAL,3260
2007-2,Education level: middle,employed,employed,3175
2007-2,Education level: middle,employed,unemployed,23
2007-2,Education level: middle,employed,non labourforce,63
2007-2,Education level: middle,unemployed,TOTAL,154
2007-2,Education level: middle,unemployed,employed,35
2007-2,Education level: middle,unemployed,unemployed,67
2007-2,Education level: middle,unemployed,non labourforce,53
2007-2,Education level: middle,non labourforce,TOTAL,1163
2007-2,Education level: middle,non labourforce,employed,81
2007-2,Education level: middle,non labourforce,unemployed,53
2007-2,Education level: middle,non labourforce,non labourforce,1029
2007-2,Education level: higher,TOTAL,TOTAL,2788
2007-2,Education level: higher,TOTAL,employed,2314
2007-2,Education level: higher,TOTAL,unemployed,65
2007-2,Education level: higher,TOTAL,non labourforce,409
2007-2,Education level: higher,employed,TOTAL,2318
2007-2,Education level: higher,employed,employed,2275
2007-2,Education level: higher,employed,unemployed,15
2007-2,Education level: higher,employed,non labourforce,27
2007-2,Education level: higher,unemployed,TOTAL,67
2007-2,Education level: higher,unemployed,employed,16
2007-2,Education level: higher,unemployed,unemployed,32
2007-2,Education level: higher,unemployed,non labourforce,20
2007-2,Education level: higher,non labourforce,TOTAL,403
2007-2,Education level: higher,non labourforce,employed,23
2007-2,Education level: higher,non labourforce,unemployed,19
2007-2,Education level: higher,non labourforce,non labourforce,361
2007-2,Education level: unknown,TOTAL,TOTAL,93
2007-2,Education level: unknown,TOTAL,employed,67
2007-2,Education level: unknown,TOTAL,unemployed,2
2007-2,Education level: unknown,TOTAL,non labourforce,24
2007-2,Education level: unknown,employed,TOTAL,69
2007-2,Education level: unknown,employed,employed,66
2007-2,Education level: unknown,employed,unemployed,
2007-2,Education level: unknown,employed,non labourforce,3
2007-2,Education level: unknown,unemployed,TOTAL,2
2007-2,Education level: unknown,unemployed,employed,
2007-2,Education level: unknown,unemployed,unemployed,
2007-2,Education level: unknown,unemployed,non labourforce,
2007-2,Education level: unknown,non labourforce,TOTAL,22
2007-2,Education level: unknown,non labourforce,employed,
2007-2,Education level: unknown,non labourforce,unemployed,
2007-2,Education level: unknown,non labourforce,non labourforce,20
2007-2,Job level: elementary,TOTAL,TOTAL,609
2007-2,Job level: elementary,TOTAL,employed,577
2007-2,Job level: elementary,TOTAL,unemployed,5
2007-2,Job level: elementary,TOTAL,non labourforce,27
2007-2,Job level: elementary,employed,TOTAL,536
2007-2,Job level: elementary,employed,employed,504
2007-2,Job level: elementary,employed,unemployed,5
2007-2,Job level: elementary,employed,non labourforce,27
2007-2,Job level: elementary,unemployed,TOTAL,18
2007-2,Job level: elementary,unemployed,employed,18
2007-2,Job level: elementary,unemployed,unemployed,
2007-2,Job level: elementary,unemployed,non labourforce,
2007-2,Job level: elementary,non labourforce,TOTAL,55
2007-2,Job level: elementary,non labourforce,employed,55
2007-2,Job level: elementary,non labourforce,unemployed,
2007-2,Job level: elementary,non labourforce,non labourforce,
2007-2,Job level: lower,TOTAL,TOTAL,1884
2007-2,Job level: lower,TOTAL,employed,1806
2007-2,Job level: lower,TOTAL,unemployed,18
2007-2,Job level: lower,TOTAL,non labourforce,59
2007-2,Job level: lower,employed,TOTAL,1748
2007-2,Job level: lower,employed,employed,1671
2007-2,Job level: lower,employed,unemployed,18
2007-2,Job level: lower,employed,non labourforce,59
2007-2,Job level: lower,unemployed,TOTAL,30
2007-2,Job level: lower,unemployed,employed,30
2007-2,Job level: lower,unemployed,unemployed,
2007-2,Job level: lower,unemployed,non labourforce,
2007-2,Job level: lower,non labourforce,TOTAL,106
2007-2,Job level: lower,non labourforce,employed,106
2007-2,Job level: lower,non labourforce,unemployed,
2007-2,Job level: lower,non labourforce,non labourforce,
2007-2,Job level: middle,TOTAL,TOTAL,2824
2007-2,Job level: middle,TOTAL,employed,2771
2007-2,Job level: middle,TOTAL,unemployed,17
2007-2,Job level: middle,TOTAL,non labourforce,36
2007-2,Job level: middle,employed,TOTAL,2763
2007-2,Job level: middle,employed,employed,2710
2007-2,Job level: middle,employed,unemployed,17
2007-2,Job level: middle,employed,non labourforce,36
2007-2,Job level: middle,unemployed,TOTAL,17
2007-2,Job level: middle,unemployed,employed,17
2007-2,Job level: middle,unemployed,unemployed,
2007-2,Job level: middle,unemployed,non labourforce,
2007-2,Job level: middle,non labourforce,TOTAL,44
2007-2,Job level: middle,non labourforce,employed,44
2007-2,Job level: middle,non labourforce,unemployed,
2007-2,Job level: middle,non labourforce,non labourforce,
2007-2,Job level: higher,TOTAL,TOTAL,1560
2007-2,Job level: higher,TOTAL,employed,1536
2007-2,Job level: higher,TOTAL,unemployed,7
2007-2,Job level: higher,TOTAL,non labourforce,16
2007-2,Job level: higher,employed,TOTAL,1536
2007-2,Job level: higher,employed,employed,1513
2007-2,Job level: higher,employed,unemployed,7
2007-2,Job level: higher,employed,non labourforce,16
2007-2,Job level: higher,unemployed,TOTAL,8
2007-2,Job level: higher,unemployed,employed,8
2007-2,Job level: higher,unemployed,unemployed,
2007-2,Job level: higher,unemployed,non labourforce,
2007-2,Job level: higher,non labourforce,TOTAL,15
2007-2,Job level: higher,non labourforce,employed,15
2007-2,Job level: higher,non labourforce,unemployed,
2007-2,Job level: higher,non labourforce,non labourforce,
2007-2,Job level: scientific,TOTAL,TOTAL,623
2007-2,Job level: scientific,TOTAL,employed,613
2007-2,Job level: scientific,TOTAL,unemployed,3
2007-2,Job level: scientific,TOTAL,non labourforce,6
2007-2,Job level: scientific,employed,TOTAL,613
2007-2,Job level: scientific,employed,employed,603
2007-2,Job level: scientific,employed,unemployed,3
2007-2,Job level: scientific,employed,non labourforce,6
2007-2,Job level: scientific,unemployed,TOTAL,3
2007-2,Job level: scientific,unemployed,employed,3
2007-2,Job level: scientific,unemployed,unemployed,
2007-2,Job level: scientific,unemployed,non labourforce,
2007-2,Job level: scientific,non labourforce,TOTAL,6
2007-2,Job level: scientific,non labourforce,employed,6
2007-2,Job level: scientific,non labourforce,unemployed,
2007-2,Job level: scientific,non labourforce,non labourforce,
2007-3,TOTAL,TOTAL,TOTAL,10971
2007-3,TOTAL,TOTAL,employed,7370
2007-3,TOTAL,TOTAL,unemployed,303
2007-3,TOTAL,TOTAL,non labourforce,3298
2007-3,TOTAL,employed,TOTAL,7400
2007-3,TOTAL,employed,employed,7135
2007-3,TOTAL,employed,unemployed,48
2007-3,TOTAL,employed,non labourforce,216
2007-3,TOTAL,unemployed,TOTAL,326
2007-3,TOTAL,unemployed,employed,93
2007-3,TOTAL,unemployed,unemployed,136
2007-3,TOTAL,unemployed,non labourforce,96
2007-3,TOTAL,non labourforce,TOTAL,3246
2007-3,TOTAL,non labourforce,employed,142
2007-3,TOTAL,non labourforce,unemployed,119
2007-3,TOTAL,non labourforce,non labourforce,2985
2007-3,Gender: male,TOTAL,TOTAL,5519
2007-3,Gender: male,TOTAL,employed,4207
2007-3,Gender: male,TOTAL,unemployed,140
2007-3,Gender: male,TOTAL,non labourforce,1172
2007-3,Gender: male,employed,TOTAL,4228
2007-3,Gender: male,employed,employed,4102
2007-3,Gender: male,employed,unemployed,26
2007-3,Gender: male,employed,non labourforce,100
2007-3,Gender: male,unemployed,TOTAL,146
2007-3,Gender: male,unemployed,employed,42
2007-3,Gender: male,unemployed,unemployed,69
2007-3,Gender: male,unemployed,non labourforce,36
2007-3,Gender: male,non labourforce,TOTAL,1146
2007-3,Gender: male,non labourforce,employed,64
2007-3,Gender: male,non labourforce,unemployed,45
2007-3,Gender: male,non labourforce,non labourforce,1036
2007-3,Gender: female,TOTAL,TOTAL,5452
2007-3,Gender: female,TOTAL,employed,3162
2007-3,Gender: female,TOTAL,unemployed,163
2007-3,Gender: female,TOTAL,non labourforce,2126
2007-3,Gender: female,employed,TOTAL,3172
2007-3,Gender: female,employed,employed,3034
2007-3,Gender: female,employed,unemployed,22
2007-3,Gender: female,employed,non labourforce,116
2007-3,Gender: female,unemployed,TOTAL,180
2007-3,Gender: female,unemployed,employed,51
2007-3,Gender: female,unemployed,unemployed,68
2007-3,Gender: female,unemployed,non labourforce,61
2007-3,Gender: female,non labourforce,TOTAL,2100
2007-3,Gender: female,non labourforce,employed,77
2007-3,Gender: female,non labourforce,unemployed,74
2007-3,Gender: female,non labourforce,non labourforce,1949
2007-3,Age: 15-25 years,TOTAL,TOTAL,1962
2007-3,Age: 15-25 years,TOTAL,employed,827
2007-3,Age: 15-25 years,TOTAL,unemployed,59
2007-3,Age: 15-25 years,TOTAL,non labourforce,1076
2007-3,Age: 15-25 years,employed,TOTAL,873
2007-3,Age: 15-25 years,employed,employed,717
2007-3,Age: 15-25 years,employed,unemployed,15
2007-3,Age: 15-25 years,employed,non labourforce,141
2007-3,Age: 15-25 years,unemployed,TOTAL,77
2007-3,Age: 15-25 years,unemployed,employed,34
2007-3,Age: 15-25 years,unemployed,unemployed,12
2007-3,Age: 15-25 years,unemployed,non labourforce,31
2007-3,Age: 15-25 years,non labourforce,TOTAL,1012
2007-3,Age: 15-25 years,non labourforce,employed,76
2007-3,Age: 15-25 years,non labourforce,unemployed,32
2007-3,Age: 15-25 years,non labourforce,non labourforce,904
2007-3,Age: 25-45 years,TOTAL,TOTAL,4604
2007-3,Age: 25-45 years,TOTAL,employed,3836
2007-3,Age: 25-45 years,TOTAL,unemployed,122
2007-3,Age: 25-45 years,TOTAL,non labourforce,646
2007-3,Age: 25-45 years,employed,TOTAL,3809
2007-3,Age: 25-45 years,employed,employed,3747
2007-3,Age: 25-45 years,employed,unemployed,21
2007-3,Age: 25-45 years,employed,non labourforce,41
2007-3,Age: 25-45 years,unemployed,TOTAL,129
2007-3,Age: 25-45 years,unemployed,employed,46
2007-3,Age: 25-45 years,unemployed,unemployed,49
2007-3,Age: 25-45 years,unemployed,non labourforce,35
2007-3,Age: 25-45 years,non labourforce,TOTAL,666
2007-3,Age: 25-45 years,non labourforce,employed,43
2007-3,Age: 25-45 years,non labourforce,unemployed,52
2007-3,Age: 25-45 years,non labourforce,non labourforce,570
2007-3,Age: 45-65 years,TOTAL,TOTAL,4405
2007-3,Age: 45-65 years,TOTAL,employed,2707
2007-3,Age: 45-65 years,TOTAL,unemployed,122
2007-3,Age: 45-65 years,TOTAL,non labourforce,1576
2007-3,Age: 45-65 years,employed,TOTAL,2718
2007-3,Age: 45-65 years,employed,employed,2671
2007-3,Age: 45-65 years,employed,unemployed,12
2007-3,Age: 45-65 years,employed,non labourforce,35
2007-3,Age: 45-65 years,unemployed,TOTAL,120
2007-3,Age: 45-65 years,unemployed,employed,14
2007-3,Age: 45-65 years,unemployed,unemployed,75
2007-3,Age: 45-65 years,unemployed,non labourforce,30
2007-3,Age: 45-65 years,non labourforce,TOTAL,1568
2007-3,Age: 45-65 years,non labourforce,employed,22
2007-3,Age: 45-65 years,non labourforce,unemployed,35
2007-3,Age: 45-65 years,non labourforce,non labourforce,1511
2007-3,Education level: lower,TOTAL,TOTAL,3402
2007-3,Education level: lower,TOTAL,employed,1638
2007-3,Education level: lower,TOTAL,unemployed,110
2007-3,Education level: lower,TOTAL,non labourforce,1653
2007-3,Education level: lower,employed,TOTAL,1664
2007-3,Education level: lower,employed,employed,1556
2007-3,Education level: lower,employed,unemployed,18
2007-3,Education level: lower,employed,non labourforce,89
2007-3,Education level: lower,unemployed,TOTAL,114
2007-3,Education level: lower,unemployed,employed,29
2007-3,Education level: lower,unemployed,unemployed,48
2007-3,Education level: lower,unemployed,non labourforce,38
2007-3,Education level: lower,non labourforce,TOTAL,1624
2007-3,Education level: lower,non labourforce,employed,53
2007-3,Education level: lower,non labourforce,unemployed,44
2007-3,Education level: lower,non labourforce,non labourforce,1526
2007-3,Education level: middle,TOTAL,TOTAL,4633
2007-3,Education level: middle,TOTAL,employed,3298
2007-3,Education level: middle,TOTAL,unemployed,126
2007-3,Education level: middle,TOTAL,non labourforce,1209
2007-3,Education level: middle,employed,TOTAL,3319
2007-3,Education level: middle,employed,employed,3202
2007-3,Education level: middle,employed,unemployed,20
2007-3,Education level: middle,employed,non labourforce,97
2007-3,Education level: middle,unemployed,TOTAL,134
2007-3,Education level: middle,unemployed,employed,36
2007-3,Education level: middle,unemployed,unemployed,53
2007-3,Education level: middle,unemployed,non labourforce,45
2007-3,Education level: middle,non labourforce,TOTAL,1180
2007-3,Education level: middle,non labourforce,employed,60
2007-3,Education level: middle,non labourforce,unemployed,53
2007-3,Education level: middle,non labourforce,non labourforce,1067
2007-3,Education level: higher,TOTAL,TOTAL,2833
2007-3,Education level: higher,TOTAL,employed,2360
2007-3,Education level: higher,TOTAL,unemployed,63
2007-3,Education level: higher,TOTAL,non labourforce,410
2007-3,Education level: higher,employed,TOTAL,2344
2007-3,Education level: higher,employed,employed,2306
2007-3,Education level: higher,employed,unemployed,9
2007-3,Education level: higher,employed,non labourforce,28
2007-3,Education level: higher,unemployed,TOTAL,72
2007-3,Education level: higher,unemployed,employed,27
2007-3,Education level: higher,unemployed,unemployed,33
2007-3,Education level: higher,unemployed,non labourforce,13
2007-3,Education level: higher,non labourforce,TOTAL,417
2007-3,Education level: higher,non labourforce,employed,27
2007-3,Education level: higher,non labourforce,unemployed,20
2007-3,Education level: higher,non labourforce,non labourforce,369
2007-3,Education level: unknown,TOTAL,TOTAL,104
2007-3,Education level: unknown,TOTAL,employed,73
2007-3,Education level: unknown,TOTAL,unemployed,4
2007-3,Education level: unknown,TOTAL,non labourforce,26
2007-3,Education level: unknown,employed,TOTAL,73
2007-3,Education level: unknown,employed,employed,71
2007-3,Education level: unknown,employed,unemployed,
2007-3,Education level: unknown,employed,non labourforce,2
2007-3,Education level: unknown,unemployed,TOTAL,5
2007-3,Education level: unknown,unemployed,employed,
2007-3,Education level: unknown,unemployed,unemployed,3
2007-3,Education level: unknown,unemployed,non labourforce,
2007-3,Education level: unknown,non labourforce,TOTAL,25
2007-3,Education level: unknown,non labourforce,employed,
2007-3,Education level: unknown,non labourforce,unemployed,
2007-3,Education level: unknown,non labourforce,non labourforce,23
2007-3,Job level: elementary,TOTAL,TOTAL,602
2007-3,Job level: elementary,TOTAL,employed,540
2007-3,Job level: elementary,TOTAL,unemployed,9
2007-3,Job level: elementary,TOTAL,non labourforce,54
2007-3,Job level: elementary,employed,TOTAL,560
2007-3,Job level: elementary,employed,employed,498
2007-3,Job level: elementary,employed,unemployed,9
2007-3,Job level: elementary,employed,non labourforce,54
2007-3,Job level: elementary,unemployed,TOTAL,14
2007-3,Job level: elementary,unemployed,employed,14
2007-3,Job level: elementary,unemployed,unemployed,
2007-3,Job level: elementary,unemployed,non labourforce,
2007-3,Job level: elementary,non labourforce,TOTAL,28
2007-3,Job level: elementary,non labourforce,employed,28
2007-3,Job level: elementary,non labourforce,unemployed,
2007-3,Job level: elementary,non labourforce,non labourforce,
2007-3,Job level: lower,TOTAL,TOTAL,1895
2007-3,Job level: lower,TOTAL,employed,1781
2007-3,Job level: lower,TOTAL,unemployed,17
2007-3,Job level: lower,TOTAL,non labourforce,97
2007-3,Job level: lower,employed,TOTAL,1792
2007-3,Job level: lower,employed,employed,1678
2007-3,Job level: lower,employed,unemployed,17
2007-3,Job level: lower,employed,non labourforce,97
2007-3,Job level: lower,unemployed,TOTAL,41
2007-3,Job level: lower,unemployed,employed,41
2007-3,Job level: lower,unemployed,unemployed,
2007-3,Job level: lower,unemployed,non labourforce,
2007-3,Job level: lower,non labourforce,TOTAL,62
2007-3,Job level: lower,non labourforce,employed,62
2007-3,Job level: lower,non labourforce,unemployed,
2007-3,Job level: lower,non labourforce,non labourforce,
2007-3,Job level: middle,TOTAL,TOTAL,2824
2007-3,Job level: middle,TOTAL,employed,2771
2007-3,Job level: middle,TOTAL,unemployed,15
2007-3,Job level: middle,TOTAL,non labourforce,39
2007-3,Job level: middle,employed,TOTAL,2774
2007-3,Job level: middle,employed,employed,2720
2007-3,Job level: middle,employed,unemployed,15
2007-3,Job level: middle,employed,non labourforce,39
2007-3,Job level: middle,unemployed,TOTAL,21
2007-3,Job level: middle,unemployed,employed,21
2007-3,Job level: middle,unemployed,unemployed,
2007-3,Job level: middle,unemployed,non labourforce,
2007-3,Job level: middle,non labourforce,TOTAL,29
2007-3,Job level: middle,non labourforce,employed,29
2007-3,Job level: middle,non labourforce,unemployed,
2007-3,Job level: middle,non labourforce,non labourforce,
2007-3,Job level: higher,TOTAL,TOTAL,1582
2007-3,Job level: higher,TOTAL,employed,1563
2007-3,Job level: higher,TOTAL,unemployed,4
